ID,Ean,Title,Category,Vendor,Price,Rating,Created At
1,1018947080336,Rustic Paper Wallet,Gizmo,"Swaniawski, Casper and Hilll",29.463261130679875,4.6,2017-07-19T19:44:56.582
2,7663515285824,Small Marble Shoes,Doohickey,Balistreri-Ankunding,70.07989613071763,0.0,2019-04-11T08:49:35.932
3,4966277046676,Synergistic Granite Chair,Doohickey,"Murray, Watsica and Wunsch",35.388744881539054,4.0,2018-09-08T22:03:20.239
4,4134502155718,Enormous Aluminum Shirt,Doohickey,Regan Bradtke and Sons,73.99178100854834,3.0,2018-03-06T02:53:09.937
5,5499736705597,Enormous Marble Wallet,Gadget,"Price, Schultz and Daniel",82.7450976850356,4.0,2016-10-03T01:47:39.147
6,2293343551454,Small Marble Hat,Doohickey,Nolan-Wolff,64.95747510229587,3.8,2017-03-29T05:43:40.15
7,0157967025871,Aerodynamic Linen Coat,Doohickey,Little-Pagac,98.81933684368194,4.3,2017-06-03T03:07:28.061
8,1078766578568,Enormous Steel Watch,Doohickey,Senger-Stamm,65.89215669329305,4.1,2018-04-30T15:03:53.193
9,7217466997444,Practical Bronze Computer,Widget,Keely Stehr Group,58.31312098526137,4.2,2019-02-07T08:26:25.647
10,1807963902339,Mediocre Wooden Table,Gizmo,"Larson, Pfeffer and Klocko",31.78621880685793,4.3,2017-01-09T09:51:20.352
11,3642408008706,Ergonomic Silk Coat,Gadget,"Upton, Kovacek and Halvorson",88.30453275661709,0.0,2018-05-28T08:02:54.482
12,9482467478850,Sleek Paper Toucan,Gizmo,Mueller-Dare,77.34285054412217,4.4,2017-11-12T14:51:16.221
13,0399569209871,Synergistic Steel Chair,Gizmo,Mr. Tanya Stracke and Sons,75.0861692740371,0.0,2016-05-24T23:09:46.392
14,8833419218504,Awesome Concrete Shoes,Widget,McClure-Lockman,25.09876359271891,4.0,2017-12-31T14:41:56.87
15,5881647583898,Aerodynamic Paper Computer,Widget,Friesen-Anderson,25.09876359271891,4.0,2016-09-08T14:42:57.264
16,9633135585459,Incredible Bronze Pants,Gadget,"Okuneva, Kutch and Monahan",44.07353303251545,4.0,2017-01-30T22:00:25.015
17,6704641545275,Enormous Wool Car,Doohickey,"Hilpert, Jacobs and Hauck",53.290720311951766,4.3,2017-01-31T11:05:14.863
18,8909358907493,Lightweight Paper Bottle,Gadget,Wilkinson-Gottlieb,54.60204747398195,4.4,2017-02-11T03:45:40.957
19,4307721071729,Rustic Concrete Bottle,Doohickey,"Gibson, Turner and Douglas",42.67116731707548,4.2,2016-11-06T23:27:12.642
20,5099742600901,Intelligent Wooden Gloves,Gizmo,Ora Monahan and Sons,24.884330833643833,4.0,2017-08-25T18:18:36.649
21,5856636800041,Lightweight Wool Bag,Gadget,Heaney-Windler,40.38334406304544,4.1,2016-06-30T07:30:53.303
22,7595223735110,Enormous Marble Shoes,Gizmo,"Mayer, Kiehn and Turcotte",21.42451996044233,4.2,2017-11-24T20:14:28.415
23,1576499102253,Fantastic Aluminum Bottle,Widget,"Reichert, Johnson and Roob",77.91115072995538,3.8,2018-02-01T16:00:14.334
24,2820850288674,Synergistic Marble Keyboard,Doohickey,Claude Thompson Group,74.87095783152942,3.4,2017-02-08T05:19:53.456
25,4863291591550,Durable Marble Watch,Widget,"Ritchie, Haley and Pacocha",45.7484264478831,0.0,2018-10-17T03:54:33.555
26,3987140172453,Ergonomic Aluminum Plate,Widget,Tia Goyette Group,45.41647453836076,0.0,2017-11-02T09:54:01.499
27,6201199361567,Awesome Aluminum Table,Gadget,Alfredo Kuhlman Group,85.01647453836077,2.0,2019-01-25T13:28:28.728
28,0010465925138,Rustic Marble Bottle,Gizmo,"Morissette, Bartoletti and Cummings",45.41647453836076,0.0,2018-03-13T11:24:34.663
29,2434890445616,Durable Steel Toucan,Widget,Odessa Emmerich Inc,82.3829881204479,4.5,2017-09-14T15:30:37.651
30,1404411876176,Ergonomic Paper Wallet,Gadget,Miles Ryan Group,42.7829881204479,3.7,2016-10-22T11:57:21.218
31,9095019841233,Rustic Rubber Clock,Doohickey,"Quigley, Von and Will",70.43564311419016,4.5,2018-06-05T19:01:10.332
32,4963935336179,Ergonomic Silk Keyboard,Gadget,Reid Pfannerstill and Sons,71.42990913064094,4.0,2017-11-15T04:21:04.291
33,9031323475252,Small Plastic Computer,Doohickey,Spinka-Stokes,31.829909130640935,2.7,2016-05-30T20:38:52.75
34,0743731223606,Heavy-Duty Wooden Clock,Gadget,Eugenia Kunze LLC,49.535942579421324,4.1,2016-04-28T22:08:19.003
35,3661250556340,Mediocre Cotton Coat,Doohickey,Cassin-Collins,47.691251538276234,3.6,2017-09-14T22:13:40.971
36,9687547218818,Mediocre Plastic Clock,Gizmo,"Wolf, Beahan and Thiel",87.29125153827623,4.1,2016-04-26T19:29:55.147
37,2890379323668,Incredible Granite Toucan,Gadget,"Parker, O'Connell and Beahan",53.40516136013846,3.3,2019-04-15T13:34:19.931
38,6154584840805,Lightweight Leather Gloves,Gadget,"Bednar, Berge and Boyle",44.04624855892918,3.8,2017-01-09T14:54:58.302
39,7494558044822,Durable Rubber Computer,Gizmo,Carmela Douglas Inc,76.38772120188973,4.2,2019-01-06T03:22:33.266
40,0335243754848,Small Copper Plate,Gizmo,Maegan Casper Group,66.44160029487797,3.9,2018-06-22T04:29:03.642
41,1144906750559,Aerodynamic Paper Coat,Widget,Robyn Padberg Inc,42.33927237126308,4.2,2018-07-16T01:10:38.959
42,4893655420066,Awesome Rubber Wallet,Widget,Schamberger-Maggio,25.336071424606207,4.0,2016-09-17T18:21:58.851
43,0236197465609,Lightweight Marble Bag,Widget,Francis Wolff Group,50.90170136783837,4.0,2016-07-06T03:02:57.658
44,4561421124790,Gorgeous Concrete Shoes,Widget,Carol Marvin LLC,50.90170136783837,4.0,2016-08-25T21:35:12.524
45,8590367775021,Sleek Wool Wallet,Doohickey,"Volkman, Greenfelder and Kiehn",78.6996782532274,2.7,2016-05-04T13:31:42.755
46,2703547723491,Rustic Linen Keyboard,Gadget,Una Fadel Group,78.6996782532274,4.0,2016-09-13T06:34:33.279
47,1909194306167,Aerodynamic Cotton Bottle,Doohickey,Annetta Wyman and Sons,56.05108065511453,4.2,2017-05-19T22:47:54.501
48,4516685534489,Gorgeous Concrete Chair,Gizmo,Kiehn-Pacocha,82.13922832356072,3.3,2018-02-20T21:54:33.91
49,4284914664558,Incredible Silk Shoes,Gadget,Schuster-Wyman,87.61910559549149,3.8,2017-06-02T08:07:59.839
50,0272643267465,Durable Wool Toucan,Widget,"Hartmann, Mohr and Stiedemann",35.76013077879841,4.1,2018-06-19T22:53:03.609
51,4406572671024,Awesome Granite Car,Gizmo,Keshaun Mueller Group,50.433725012700116,3.7,2016-07-07T16:23:10.515
52,2091630691049,Ergonomic Marble Hat,Widget,Koch-Ruecker,69.1172482676769,4.4,2017-05-22T07:39:32.125
53,8825217022124,Mediocre Cotton Toucan,Doohickey,Jacobson-Daniel,29.517248267676894,4.4,2016-11-04T00:33:07.221
54,1943523619306,Intelligent Bronze Knife,Widget,McClure-Murphy,41.395738936015974,3.6,2016-11-22T09:23:14.682
